MONDO,EFO
MONDO_0006752,EFO_1000928
MONDO_0006753,EFO_1000929
MONDO_0006754,EFO_1000930
MONDO_0006760,EFO_1000937
MONDO_0006761,EFO_1000938
MONDO_0006758,EFO_1000935
MONDO_0006759,EFO_1000936
MONDO_0006757,EFO_1000933
MONDO_0006322,EFO_1000400
MONDO_0006755,EFO_1000931
MONDO_0019025,EFO_1000932
MONDO_0006762,EFO_1000939
MONDO_0007753,EFO_1000940
MONDO_0006763,EFO_1000941
MONDO_0009264,EFO_1000949
MONDO_0007652,EFO_1000946
MONDO_0006766,EFO_1000944
MONDO_0006767,EFO_1000945
MONDO_0006764,EFO_1000942
MONDO_0006765,EFO_1000943
MONDO_0005066,EFO_0000589
MONDO_0006771,EFO_1000951
MONDO_0006770,EFO_1000950
MONDO_0005674,EFO_0007176
MONDO_0005096,EFO_0000707
MONDO_0005229,EFO_0003033
MONDO_0001341,EFO_1001929
MONDO_0005517,EFO_0005577
MONDO_0005380,EFO_0004259
MONDO_0006479,EFO_1000607
MONDO_0005028,EFO_0000478
MONDO_0005833,EFO_0007352
MONDO_0006480,EFO_1000608
MONDO_0006477,EFO_1000605
MONDO_0005617,EFO_0006772
MONDO_0006478,EFO_1000606
MONDO_0004963,EFO_0000209
MONDO_0004947,EFO_0000094
MONDO_0006476,EFO_1000604
MONDO_0018874,EFO_0000222
MONDO_0007896,EFO_0000221
MONDO_0006474,EFO_1000601
MONDO_0004993,EFO_0000313
MONDO_0006481,EFO_1000609
MONDO_0006482,EFO_1000610
MONDO_0005138,EFO_0001071
MONDO_0005061,EFO_0000571
MONDO_0006483,EFO_1000611
MONDO_0006488,EFO_1000618
MONDO_0005008,EFO_0000365
MONDO_0006489,EFO_1000619
MONDO_0006486,EFO_1000616
MONDO_0006487,EFO_1000617
MONDO_0004971,EFO_0000231
MONDO_0020320,EFO_0003028
MONDO_0006484,EFO_1000612
MONDO_0005043,EFO_0000536
MONDO_0006485,EFO_1000613
MONDO_0005213,EFO_0002919
MONDO_0006192,EFO_1000233
MONDO_0005335,EFO_0004142
MONDO_0006490,EFO_1000620
MONDO_0019087,EFO_0005221
MONDO_0005211,EFO_0002917
MONDO_0006493,EFO_1000625
MONDO_0006181,EFO_1000218
MONDO_0006491,EFO_1000623
MONDO_0005215,EFO_0002921
MONDO_0007243,EFO_0000309
MONDO_0006497,EFO_1000632
MONDO_0006496,EFO_1000631
MONDO_0002701,EFO_1001963
MONDO_0005858,EFO_0007378
MONDO_0006498,EFO_1000633
MONDO_0005079,EFO_0000662
MONDO_0002702,EFO_1001962
MONDO_0003210,EFO_1001961
MONDO_0005216,EFO_0002938
MONDO_0006504,EFO_1000639
MONDO_0006056,EFO_1000053
MONDO_0006502,EFO_1000637
MONDO_0006500,EFO_1000635
MONDO_0005214,EFO_0002920
MONDO_0005275,EFO_0003818
MONDO_0006506,EFO_1000641
MONDO_0006505,EFO_1000640
MONDO_0001825,EFO_1001970
MONDO_0006509,EFO_1000646
MONDO_0006512,EFO_1000649
MONDO_0005152,EFO_0001380
MONDO_0006510,EFO_1000647
MONDO_0005240,EFO_0003086
MONDO_0000158,EFO_1000648
MONDO_0005497,EFO_0005541
MONDO_0009770,EFO_1001978
MONDO_0009927,EFO_1001977
MONDO_0011479,EFO_1000645
MONDO_0005626,EFO_0006858
MONDO_0005098,EFO_0000712
MONDO_0006515,EFO_1000652
MONDO_0004982,EFO_0000278
MONDO_0021167,EFO_0000783
MONDO_0006513,EFO_1000650
MONDO_0006514,EFO_1000651
MONDO_0004980,EFO_0000274
MONDO_0020128,EFO_0003782
MONDO_0019127,EFO_0003063
MONDO_0006518,EFO_1000656
MONDO_0005357,EFO_0004226
MONDO_0018882,EFO_0006803
MONDO_0006524,EFO_1000665
MONDO_0006523,EFO_1000664
MONDO_0007048,EFO_1000666
MONDO_0006566,EFO_1000720
MONDO_0016367,EFO_0000398
MONDO_0006522,EFO_1000663
MONDO_0006520,EFO_1000661
MONDO_0006521,EFO_1000662
MONDO_0005249,EFO_0003106
MONDO_0006526,EFO_1000669
MONDO_0007070,EFO_1000667
MONDO_0006574,EFO_1000728
MONDO_0006525,EFO_1000668
MONDO_0005480,EFO_0005319
MONDO_0006531,EFO_1000676
MONDO_0006533,EFO_1000678
MONDO_0006532,EFO_1000677
MONDO_0006527,EFO_1000670
MONDO_0006615,EFO_1000772
MONDO_0006528,EFO_1000671
MONDO_0005383,EFO_0004262
MONDO_0000600,EFO_1001903
MONDO_0005618,EFO_0006788
MONDO_0005159,EFO_0001663
MONDO_0006541,EFO_1000690
MONDO_0020332,EFO_1000559
MONDO_0006438,EFO_1000557
MONDO_0019392,EFO_1000558
MONDO_0005550,EFO_0005741
MONDO_0010108,EFO_1000566
MONDO_0005040,EFO_0000514
MONDO_0003508,EFO_1000564
MONDO_0006446,EFO_1000565
MONDO_0005564,EFO_0005784
MONDO_0002522,EFO_1000562
MONDO_0006444,EFO_1000563
MONDO_0019468,EFO_1000560
MONDO_0006442,EFO_1000561
MONDO_0005167,EFO_0002424
MONDO_0006447,EFO_1000570
MONDO_0006452,EFO_1000577
MONDO_0005197,EFO_0002626
MONDO_0006450,EFO_1000575
MONDO_0005170,EFO_0002427
MONDO_0006451,EFO_1000576
MONDO_0003402,EFO_1000574
MONDO_0006455,EFO_1000580
MONDO_0006462,EFO_1000587
MONDO_0005062,EFO_0000574
MONDO_0006459,EFO_1000584
MONDO_0006460,EFO_1000585
MONDO_0016975,EFO_1000582
MONDO_0006458,EFO_1000583
MONDO_0006464,EFO_1000591
MONDO_0004970,EFO_0000228
MONDO_0006463,EFO_1000590
MONDO_0006470,EFO_1000597
MONDO_0010150,EFO_0000181
MONDO_0006471,EFO_1000598
MONDO_0006468,EFO_1000595
MONDO_0006469,EFO_1000596
MONDO_0006466,EFO_1000593
MONDO_0006467,EFO_1000594
MONDO_0006563,EFO_1000717
MONDO_0008420,EFO_0005584
MONDO_0006564,EFO_1000718
MONDO_0006561,EFO_1000713
MONDO_0007769,EFO_1000711
MONDO_0006565,EFO_1000719
MONDO_0015614,EFO_1000684
MONDO_0006567,EFO_1000721
MONDO_0016566,EFO_1000729
MONDO_0006572,EFO_1000726
MONDO_0006570,EFO_1000724
MONDO_0006571,EFO_1000725
MONDO_0018830,EFO_1000722
MONDO_0006569,EFO_1000723
MONDO_0006577,EFO_1000731
MONDO_0006578,EFO_1000732
MONDO_0006576,EFO_1000730
MONDO_0007908,EFO_1000737
MONDO_0006583,EFO_1000738
MONDO_0006581,EFO_1000735
MONDO_0006580,EFO_1000734
MONDO_0006582,EFO_1000736
MONDO_0006579,EFO_1000733
MONDO_0006591,EFO_1000746
MONDO_0006590,EFO_1000745
MONDO_0006585,EFO_1000740
MONDO_0006586,EFO_1000741
MONDO_0006593,EFO_1000748
MONDO_0006594,EFO_1000749
MONDO_0006592,EFO_1000747
MONDO_0005083,EFO_0000676
MONDO_0006589,EFO_1000744
MONDO_0006598,EFO_1000753
MONDO_0006597,EFO_1000752
MONDO_0006599,EFO_1000754
MONDO_0006595,EFO_1000750
MONDO_0006603,EFO_1000759
MONDO_0007047,EFO_1000758
MONDO_0006601,EFO_1000756
MONDO_0006609,EFO_1000765
MONDO_0006606,EFO_1000762
MONDO_0006607,EFO_1000763
MONDO_0006604,EFO_1000760
MONDO_0006605,EFO_1000761
MONDO_0006612,EFO_1000769
MONDO_0006610,EFO_1000766
MONDO_0006611,EFO_1000767
MONDO_0006618,EFO_1000775
MONDO_0006619,EFO_1000776
MONDO_0006616,EFO_1000773
MONDO_0006617,EFO_1000774
MONDO_0006614,EFO_1000771
MONDO_0006613,EFO_1000770
MONDO_0006622,EFO_1000779
MONDO_0006620,EFO_1000777
MONDO_0006621,EFO_1000778
MONDO_0006629,EFO_1000786
MONDO_0006630,EFO_1000787
MONDO_0019124,EFO_1000784
MONDO_0006625,EFO_1000782
MONDO_0006626,EFO_1000783
MONDO_0005244,EFO_0003100
MONDO_0017227,EFO_1000780
